timestamp,system_id,state_of_charge_percent,battery_power_kw,voltage_v,current_a,temperature_c,mode,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,state_of_charge_percent_lag1,state_of_charge_percent_lag3,state_of_charge_percent_rolling_mean3,state_of_charge_percent_rolling_std3,battery_power_kw_lag1,battery_power_kw_lag3,battery_power_kw_rolling_mean3,battery_power_kw_rolling_std3,voltage_v_lag1,voltage_v_lag3,voltage_v_rolling_mean3,voltage_v_rolling_std3,current_a_lag1,current_a_lag3,current_a_rolling_mean3,current_a_rolling_std3,temperature_c_lag1,temperature_c_lag3,temperature_c_rolling_mean3,temperature_c_rolling_std3
2026-07-01 00:00:00,battery_storage_1,61.17,-69.06,682.96,-100.09,31.49,discharging,0,1,7,2,0,0.0,1.0,61.17,61.17,61.199999999999996,0.18681541692269166,-69.06,-69.06,-16.66,50.26243229291635,682.96,682.96,688.5633333333334,4.873913554150681,-100.09,-100.09,-24.143333333333334,72.84822944542533,31.49,31.49,31.083333333333332,1.2314354767235418
2026-07-01 00:15:00,battery_storage_1,61.03,-12.07,690.91,-17.49,29.7,discharging,0,1,7,2,0,0.0,1.0,61.17,61.17,61.199999999999996,0.18681541692269166,-69.06,-69.06,-16.66,50.26243229291635,682.96,682.96,688.5633333333334,4.873913554150681,-100.09,-100.09,-24.143333333333334,72.84822944542533,31.49,31.49,31.083333333333332,1.2314354767235418
2026-07-01 00:30:00,battery_storage_1,61.4,31.15,691.82,45.15,32.06,charging,0,1,7,2,0,0.0,1.0,61.03,61.17,61.199999999999996,0.18681541692269166,-12.07,-69.06,-16.66,50.26243229291635,690.91,682.96,688.5633333333334,4.873913554150681,-17.49,-100.09,-24.143333333333334,72.84822944542533,29.7,31.49,31.083333333333332,1.2314354767235418
2026-07-01 00:45:00,battery_storage_1,62.41,84.33,683.47,122.21,32.32,charging,0,1,7,2,0,0.0,1.0,61.4,61.17,61.61333333333334,0.7143061901827014,31.15,-69.06,34.47,48.285679036335395,691.82,682.96,688.7333333333332,4.580833257534448,45.15,-100.09,49.95666666666667,69.9739275254243,32.06,31.49,31.360000000000003,1.443468046061292
2026-07-01 01:00:00,battery_storage_1,62.58,13.76,695.66,19.94,29.99,charging,1,1,7,2,0,0.25881904510252074,0.9659258262890683,62.41,61.03,62.129999999999995,0.6378871373526739,84.33,-12.07,43.07999999999999,36.766491537811966,683.47,690.91,690.3166666666667,6.232498161518689,122.21,-17.49,62.43333333333334,53.2806102943025,32.32,29.7,31.456666666666667,1.2768059105961784
2026-07-01 01:15:00,battery_storage_1,63.29,58.99,695.02,85.49,32.56,charging,1,1,7,2,0,0.25881904510252074,0.9659258262890683,62.58,61.4,62.75999999999999,0.46679760067933185,13.76,31.15,52.35999999999999,35.74911047844407,695.66,691.82,691.3833333333333,6.860614646905487,19.94,45.15,75.88,51.807840140272205,29.99,32.06,31.623333333333335,1.419589142439931
2026-07-01 01:30:00,battery_storage_1,62.55,-61.12,687.25,-88.57,33.51,discharging,1,1,7,2,0,0.25881904510252074,0.9659258262890683,63.29,62.41,62.806666666666665,0.418847625435925,58.99,84.33,3.8766666666666674,60.66187627607089,695.02,683.47,692.6433333333333,4.681712649590405,85.49,122.21,5.62,87.90914457552184,32.56,32.32,32.02,1.8210711133835509
2026-07-01 01:45:00,battery_storage_1,62.64,7.29,685.28,10.56,30.5,charging,1,1,7,2,0,0.25881904510252074,0.9659258262890683,62.55,62.58,62.826666666666675,0.4037738641037981,-61.12,13.76,1.7200000000000009,60.248416576703484,687.25,695.66,689.1833333333334,5.149779930573098,-88.57,19.94,2.4933333333333327,87.30993204288578,33.51,29.99,32.190000000000005,1.538733245237785
2026-07-01 02:00:00,battery_storage_1,63.64,83.08,692.49,120.41,31.54,charging,2,1,7,2,0,0.49999999999999994,0.8660254037844387,62.64,63.29,62.94333333333333,0.6050068870131233,7.29,58.99,9.75,72.13146816750647,685.28,695.02,688.34,3.726539950141415,10.56,85.49,14.133333333333335,104.53581507470697,30.5,32.56,31.850000000000005,1.5287576655572332
2026-07-01 02:15:00,battery_storage_1,63.94,25.14,691.1,36.43,29.56,charging,2,1,7,2,0,0.49999999999999994,0.8660254037844387,63.64,62.55,63.406666666666666,0.6806859285553765,83.08,-61.12,38.50333333333334,39.62278427033279,692.49,687.25,689.6233333333333,3.825105663028663,120.41,-88.57,55.800000000000004,57.42955075568676,31.54,33.51,30.533333333333335,0.9904207859962004
