timestamp,system_id,air_flow_m3_min,air_pressure_bar,power_kw,motor_temperature_c,vibration_mm_s,efficiency_percent,status,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,air_flow_m3_min_lag1,air_flow_m3_min_lag3,air_flow_m3_min_rolling_mean3,air_flow_m3_min_rolling_std3,air_pressure_bar_lag1,air_pressure_bar_lag3,air_pressure_bar_rolling_mean3,air_pressure_bar_rolling_std3,power_kw_lag1,power_kw_lag3,power_kw_rolling_mean3,power_kw_rolling_std3,motor_temperature_c_lag1,motor_temperature_c_lag3,motor_temperature_c_rolling_mean3,motor_temperature_c_rolling_std3,vibration_mm_s_lag1,vibration_mm_s_lag3,vibration_mm_s_rolling_mean3,vibration_mm_s_rolling_std3,efficiency_percent_lag1,efficiency_percent_lag3,efficiency_percent_rolling_mean3,efficiency_percent_rolling_std3
2026-07-01 00:00:00,compressor,37.42,2.47,16.71,45.16,0.671,86.8,running,0,1,7,2,0,0.0,1.0,37.42,37.42,36.78333333333333,4.131952726415604,2.47,2.47,2.6166666666666667,0.13316656236958774,16.71,16.71,16.21,1.2194670967270915,45.16,45.16,44.303333333333335,2.2696769226771796,0.671,0.671,0.7693333333333333,0.19058418962058035,86.8,86.8,91.50999999999999,4.100036585202626
2026-07-01 00:15:00,compressor,40.56,2.73,17.1,46.02,0.989,93.45,running,0,1,7,2,0,0.0,1.0,37.42,37.42,36.78333333333333,4.131952726415604,2.47,2.47,2.6166666666666667,0.13316656236958774,16.71,16.71,16.21,1.2194670967270915,45.16,45.16,44.303333333333335,2.2696769226771796,0.671,0.671,0.7693333333333333,0.19058418962058035,86.8,86.8,91.50999999999999,4.100036585202626
2026-07-01 00:30:00,compressor,32.37,2.65,14.82,41.73,0.648,94.28,running,0,1,7,2,0,0.0,1.0,40.56,37.42,36.78333333333333,4.131952726415604,2.73,2.47,2.6166666666666667,0.13316656236958774,17.1,16.71,16.21,1.2194670967270915,46.02,45.16,44.303333333333335,2.2696769226771796,0.989,0.671,0.7693333333333333,0.19058418962058035,93.45,86.8,91.50999999999999,4.100036585202626
2026-07-01 00:45:00,compressor,41.79,2.46,21.65,44.61,0.988,86.1,running,0,1,7,2,0,0.0,1.0,32.37,37.42,38.24,5.1206347262815015,2.65,2.47,2.6133333333333333,0.13868429375143146,14.82,16.71,17.856666666666666,3.477302594444914,41.73,45.16,44.120000000000005,2.186572660580943,0.648,0.671,0.875,0.19658840250635326,94.28,86.8,91.27666666666666,4.502292008892067
2026-07-01 01:00:00,compressor,41.41,2.6,14.56,42.28,0.508,89.29,running,1,1,7,2,0,0.25881904510252074,0.9659258262890683,41.79,40.56,38.52333333333333,5.3323290721159875,2.46,2.73,2.57,0.098488578017961,21.65,17.1,17.01,4.020460172666805,44.61,46.02,42.873333333333335,1.5289320891829485,0.988,0.989,0.7146666666666667,0.2468467810876483,86.1,93.45,89.89,4.122875210335625
2026-07-01 01:15:00,compressor,37.97,2.15,13.73,41.49,0.949,89.97,running,1,1,7,2,0,0.25881904510252074,0.9659258262890683,41.41,32.37,40.38999999999999,2.1043763921884393,2.6,2.65,2.4033333333333338,0.23028967265887829,14.56,14.82,16.646666666666665,4.352841983501506,42.28,41.73,42.79333333333333,1.6221076824099345,0.508,0.648,0.815,0.26658394550310033,89.29,94.28,88.45333333333333,2.0662123156474843
2026-07-01 01:30:00,compressor,32.44,2.87,13.17,43.43,1.037,88.57,running,1,1,7,2,0,0.25881904510252074,0.9659258262890683,37.97,41.79,37.27333333333333,4.525398693301323,2.15,2.46,2.5399999999999996,0.36373066958946426,13.73,21.65,13.82,0.6993568473962241,41.49,44.61,42.4,0.975551126287082,0.949,0.988,0.8313333333333333,0.2834507599801653,89.97,86.1,89.27666666666666,0.7000952316173334
2026-07-01 01:45:00,compressor,26.93,2.96,21.3,45.04,1.033,97.63,idle,1,1,7,2,0,0.25881904510252074,0.9659258262890683,32.44,41.41,32.446666666666665,5.5200030193228375,2.87,2.6,2.66,0.4439594576084624,13.17,14.56,16.066666666666666,4.540840597657369,43.43,42.28,43.32,1.7775544998677295,1.037,0.508,1.0063333333333333,0.04969238707622318,88.57,89.29,92.05666666666666,4.877143972996223
2026-07-01 02:00:00,compressor,43.67,2.76,17.07,42.99,0.788,90.69,running,2,1,7,2,0,0.49999999999999994,0.8660254037844387,26.93,37.97,34.346666666666664,8.531320726202557,2.96,2.15,2.8633333333333333,0.10016652800877934,21.3,13.73,17.180000000000003,4.0661160829469685,45.04,41.49,43.81999999999999,1.0792126759819074,1.033,0.949,0.9526666666666666,0.14261954050316253,97.63,89.97,92.29666666666667,4.7388746906131
2026-07-01 02:15:00,compressor,30.85,3.2,25.62,45.03,0.709,95.72,running,2,1,7,2,0,0.49999999999999994,0.8660254037844387,43.67,32.44,33.81666666666667,8.755440213566267,2.76,2.87,2.973333333333333,0.22030282189144496,17.07,13.17,21.330000000000002,4.275078946639467,42.99,43.43,44.35333333333333,1.1806918875529624,0.788,1.037,0.8433333333333333,0.16893884495086764,90.69,88.57,94.68,3.5849825662058734
