timestamp,system_id,steam_pressure_bar,steam_flow_kg_hr,fuel_flow_m3_hr,feedwater_temperature_c,flue_gas_temperature_c,efficiency_percent,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,steam_pressure_bar_lag1,steam_pressure_bar_lag3,steam_pressure_bar_rolling_mean3,steam_pressure_bar_rolling_std3,steam_flow_kg_hr_lag1,steam_flow_kg_hr_lag3,steam_flow_kg_hr_rolling_mean3,steam_flow_kg_hr_rolling_std3,fuel_flow_m3_hr_lag1,fuel_flow_m3_hr_lag3,fuel_flow_m3_hr_rolling_mean3,fuel_flow_m3_hr_rolling_std3,feedwater_temperature_c_lag1,feedwater_temperature_c_lag3,feedwater_temperature_c_rolling_mean3,feedwater_temperature_c_rolling_std3,flue_gas_temperature_c_lag1,flue_gas_temperature_c_lag3,flue_gas_temperature_c_rolling_mean3,flue_gas_temperature_c_rolling_std3,efficiency_percent_lag1,efficiency_percent_lag3,efficiency_percent_rolling_mean3,efficiency_percent_rolling_std3
2026-07-01 00:00:00,boiler_1,8.2,1748.66,144.62,80.81,167.46,81.88,0,1,7,2,0,0.0,1.0,8.2,8.2,8.15,0.0435889894354056,1748.66,1748.66,1705.64,60.83328365294779,144.62,144.62,141.61666666666667,3.6319737517406905,80.81,80.81,82.97333333333334,4.925244494777222,167.46,167.46,168.32333333333335,1.9629654437440671,81.88,81.88,80.75999999999999,1.6623176591734825
2026-07-01 00:15:00,boiler_1,8.13,1636.04,137.58,88.61,166.94,78.85,0,1,7,2,0,0.0,1.0,8.2,8.2,8.15,0.0435889894354056,1748.66,1748.66,1705.64,60.83328365294779,144.62,144.62,141.61666666666667,3.6319737517406905,80.81,80.81,82.97333333333334,4.925244494777222,167.46,167.46,168.32333333333335,1.9629654437440671,81.88,81.88,80.75999999999999,1.6623176591734825
2026-07-01 00:30:00,boiler_1,8.12,1732.22,142.65,79.5,170.57,81.55,0,1,7,2,0,0.0,1.0,8.13,8.2,8.15,0.0435889894354056,1636.04,1748.66,1705.64,60.83328365294779,137.58,144.62,141.61666666666667,3.6319737517406905,88.61,80.81,82.97333333333334,4.925244494777222,166.94,167.46,168.32333333333335,1.9629654437440671,78.85,81.88,80.75999999999999,1.6623176591734825
2026-07-01 00:45:00,boiler_1,7.97,1661.4,137.86,93.11,214.71,82.0,0,1,7,2,0,0.0,1.0,8.12,8.2,8.073333333333332,0.08962886439832342,1732.22,1748.66,1676.5533333333333,49.84842759138261,142.65,144.62,139.36333333333334,2.849777769113471,79.5,80.81,87.07333333333334,6.9339046238993856,170.57,167.46,184.07333333333335,26.59413907862659,81.55,81.88,80.8,1.7036725037400844
2026-07-01 01:00:00,boiler_1,8.04,1558.49,137.78,84.59,195.13,83.02,1,1,7,2,0,0.25881904510252074,0.9659258262890683,7.97,8.13,8.043333333333331,0.07505553499464841,1661.4,1636.04,1650.7033333333336,87.35755395690335,137.86,137.58,139.42999999999998,2.7888886675520124,93.11,88.61,85.73333333333333,6.876658587812346,214.71,166.94,193.47000000000003,22.116771916353454,82.0,78.85,82.19,0.7531932023060136
2026-07-01 01:15:00,boiler_1,8.14,1785.01,144.4,89.59,168.13,79.31,1,1,7,2,0,0.25881904510252074,0.9659258262890683,8.04,8.12,8.049999999999999,0.08544003745317337,1558.49,1732.22,1668.3,113.4175255416903,137.78,142.65,140.01333333333335,3.7991753491163633,84.59,79.5,89.09666666666665,4.281370497087739,195.13,170.57,192.65666666666667,23.388290517550317,83.02,81.55,81.44333333333333,1.9166202892939692
2026-07-01 01:30:00,boiler_1,8.19,1593.86,138.29,86.41,207.13,82.72,1,1,7,2,0,0.25881904510252074,0.9659258262890683,8.14,7.97,8.123333333333333,0.07637626158259672,1785.01,1661.4,1645.7866666666666,121.8610341057931,144.4,137.86,140.15666666666667,3.6836711760597582,89.59,93.11,86.86333333333334,2.5306389180073317,168.13,214.71,190.13,19.974984355438192,79.31,82.0,81.68333333333332,2.0608331648470006
2026-07-01 01:45:00,boiler_1,8.17,1786.78,142.66,91.83,196.25,78.84,1,1,7,2,0,0.25881904510252074,0.9659258262890683,8.19,8.04,8.166666666666666,0.02516611478423713,1593.86,1558.49,1721.8833333333332,110.87499101841414,138.29,137.78,141.78333333333333,3.1479252426532622,86.41,84.59,89.27666666666666,2.7235516028401814,207.13,195.13,190.50333333333333,20.125062318744103,82.72,83.02,80.29,2.117522136838228
2026-07-01 02:00:00,boiler_1,8.2,1669.59,138.18,84.73,173.09,79.83,2,1,7,2,0,0.49999999999999994,0.8660254037844387,8.17,8.14,8.186666666666666,0.015275252316526813,1786.78,1785.01,1683.4099999999999,97.19967026693054,142.66,144.4,139.71,2.5553669012492275,91.83,89.59,87.65666666666668,3.710543536105366,196.25,168.13,192.15666666666667,17.385250453569363,78.84,79.31,80.46333333333332,2.016043981001723
2026-07-01 02:15:00,boiler_1,8.29,1691.62,140.48,92.93,201.18,79.95,2,1,7,2,0,0.49999999999999994,0.8660254037844387,8.2,8.19,8.219999999999999,0.06244997998398766,1669.59,1593.86,1715.9966666666667,62.28194307609073,138.18,138.29,140.44000000000003,2.2402678411297425,84.73,86.41,89.83,4.450842616853578,173.09,207.13,190.17333333333332,14.998547707472673,79.83,82.72,79.54,0.6091797764206515
2026-07-01 02:30:00,boiler_1,8.16,1615.59,139.84,85.63,180.51,85.99,2,1,7,2,0,0.49999999999999994,0.8660254037844387,8.29,8.17,8.216666666666667,0.06658328118479688,1691.62,1786.78,1658.9333333333332,39.11922332221469,140.48,142.66,139.5,1.1870973001401541,92.93,91.83,87.76333333333334,4.497036060933173,201.18,196.25,184.92666666666665,14.556518585614283,79.95,78.84,81.92333333333333,3.5223477019359275
2026-07-01 02:45:00,boiler_1,8.28,1630.95,137.41,93.54,198.81,78.8,2,1,7,2,0,0.49999999999999994,0.8660254037844387,8.16,8.2,8.243333333333332,0.07234178138070699,1615.59,1669.59,1646.0533333333333,40.202278956960676,139.84,138.18,139.24333333333334,1.6196398776682996,85.63,84.73,90.7,4.401329344641234,180.51,173.09,193.5,11.311909653104568,85.99,79.83,81.58,3.862214390734927
