timestamp,system_id,irradiance_w_m2,dc_power_kw,inverter_power_kw,panel_temperature_c,inverter_status,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,irradiance_w_m2_lag1,irradiance_w_m2_lag3,irradiance_w_m2_rolling_mean3,irradiance_w_m2_rolling_std3,dc_power_kw_lag1,dc_power_kw_lag3,dc_power_kw_rolling_mean3,dc_power_kw_rolling_std3,inverter_power_kw_lag1,inverter_power_kw_lag3,inverter_power_kw_rolling_mean3,inverter_power_kw_rolling_std3,panel_temperature_c_lag1,panel_temperature_c_lag3,panel_temperature_c_rolling_mean3,panel_temperature_c_rolling_std3
2026-07-01 00:00:00,solar_plant_1,0.0,6.07,5.93,29.31,standby,0,1,7,2,0,0.0,1.0,0.0,0.0,4.033333333333333,6.985938257194471,6.07,6.07,4.696666666666666,4.182658644132142,5.93,5.93,4.573333333333333,4.068345281970709,29.31,29.31,28.396666666666665,1.9569704477414407
2026-07-01 00:15:00,solar_plant_1,12.1,8.02,7.79,26.15,standby,0,1,7,2,0,0.0,1.0,0.0,0.0,4.033333333333333,6.985938257194471,6.07,6.07,4.696666666666666,4.182658644132142,5.93,5.93,4.573333333333333,4.068345281970709,29.31,29.31,28.396666666666665,1.9569704477414407
2026-07-01 00:30:00,solar_plant_1,0.0,0.0,0.0,29.73,standby,0,1,7,2,0,0.0,1.0,12.1,0.0,4.033333333333333,6.985938257194471,8.02,6.07,4.696666666666666,4.182658644132142,7.79,5.93,4.573333333333333,4.068345281970709,26.15,29.31,28.396666666666665,1.9569704477414407
2026-07-01 00:45:00,solar_plant_1,29.53,9.53,9.3,27.43,online,0,1,7,2,0,0.0,1.0,0.0,0.0,13.876666666666667,14.844953126680236,0.0,6.07,5.849999999999999,5.122196794345176,0.0,5.93,5.696666666666666,4.9908950433097,29.73,29.31,27.77,1.814056228455998
2026-07-01 01:00:00,solar_plant_1,6.8,9.28,9.02,29.98,standby,1,1,7,2,0,0.25881904510252074,0.9659258262890683,29.53,12.1,12.11,15.464549783294695,9.53,8.02,6.27,5.4314178627684315,9.3,7.79,6.1066666666666665,5.290381208696905,27.43,26.15,29.046666666666667,1.4056433876817171
2026-07-01 01:15:00,solar_plant_1,5.13,0.41,0.4,27.39,standby,1,1,7,2,0,0.25881904510252074,0.9659258262890683,6.8,0.0,13.82,13.630858373558139,9.28,0.0,6.406666666666666,5.194769805615388,9.02,0.0,6.239999999999999,5.059525669467445,29.98,29.73,28.266666666666666,1.4839249756417374
2026-07-01 01:30:00,solar_plant_1,20.72,13.66,12.97,27.35,standby,1,1,7,2,0,0.25881904510252074,0.9659258262890683,5.13,29.53,10.883333333333333,8.559628107186276,0.41,9.53,7.783333333333334,6.750602442251604,0.4,9.3,7.463333333333334,6.427957166420241,27.39,27.43,28.24,1.5070169209401716
2026-07-01 01:45:00,solar_plant_1,79.32,30.23,29.1,30.84,online,1,1,7,2,0,0.25881904510252074,0.9659258262890683,20.72,6.8,35.056666666666665,39.117694632139724,13.66,9.28,14.766666666666666,14.940770841336578,12.97,9.02,14.156666666666666,14.38675200777901,27.35,29.98,28.526666666666667,2.003505261618579
2026-07-01 02:00:00,solar_plant_1,69.93,28.69,27.87,29.71,online,2,1,7,2,0,0.49999999999999994,0.8660254037844387,79.32,5.13,56.656666666666666,31.474212195594877,30.23,0.41,24.19333333333333,9.15457444851115,29.1,0.4,23.313333333333333,8.978676591421111,30.84,27.39,29.3,1.7807582654588483
2026-07-01 02:15:00,solar_plant_1,99.06,48.2,46.69,30.53,online,2,1,7,2,0,0.49999999999999994,0.8660254037844387,69.93,20.72,82.77,14.86829176469173,28.69,13.66,35.70666666666667,10.846908929890267,27.87,12.97,34.553333333333335,10.528638721759494,29.71,27.35,30.360000000000003,0.5838664230798168
2026-07-01 02:30:00,solar_plant_1,83.89,32.98,31.73,32.08,online,2,1,7,2,0,0.49999999999999994,0.8660254037844387,99.06,79.32,84.29333333333334,14.56918780623454,48.2,30.23,36.62333333333333,10.252581788668316,46.69,29.1,35.43,9.940603603403572,30.53,30.84,30.77333333333333,1.2035918466545688
